Date,High,Vol.,Low,Price,Chg. %,Open,Unnamed: 7,Close
03/07/2023,1548.62,94.08M,1528.93,1535.95,-0.82%,1548.62,,1535.95
30/06/2023,1551.57,187.04M,1532.09,1548.62,1.08%,1532.09,,1548.62
29/06/2023,1533.27,147.84M,1516.94,1532.09,0.65%,1522.26,,1532.09
28/06/2023,1527.64,169.84M,1517.92,1522.26,-0.35%,1527.64,,1522.26
27/06/2023,1532.71,178.08M,1517.05,1527.64,-0.20%,1530.7,,1527.64
26/06/2023,1539.92,191.06M,1516.67,1530.7,-0.60%,1539.92,,1530.7
23/06/2023,1545.71,235.75M,1536.41,1539.92,-0.32%,1544.88,,1539.92
22/06/2023,1547.11,143.35M,1534.76,1544.88,0.65%,1534.94,,1544.88
21/06/2023,1539.84,166.17M,1523.97,1534.94,0.06%,1533.99,,1534.94
20/06/2023,1541.25,195.06M,1521.27,1533.99,-0.15%,1536.25,,1533.99
16/06/2023,1548.07,375.52M,1534.73,1536.25,-0.01%,1536.36,,1536.25
15/06/2023,1538.34,189.46M,1512.91,1536.36,1.55%,1512.91,,1536.36
14/06/2023,1530.05,229.13M,1507.72,1512.91,-1.12%,1530.05,,1512.91
13/06/2023,1532.23,177.86M,1518.94,1530.05,0.53%,1522.0,,1530.05
12/06/2023,1522.57,167.35M,1510.34,1522.0,0.46%,1515.05,,1522.0
09/06/2023,1522.26,139.39M,1506.39,1515.05,0.19%,1512.14,,1515.05
08/06/2023,1514.07,163.17M,1498.29,1512.14,0.65%,1502.41,,1512.14
07/06/2023,1509.21,183.26M,1500.48,1502.41,-0.41%,1508.67,,1502.41
06/06/2023,1527.53,171.00M,1502.42,1508.67,-0.88%,1522.04,,1508.67
05/06/2023,1527.95,141.57M,1516.22,1522.04,0.38%,1516.22,,1522.04
02/06/2023,1518.50,168.71M,1496.25,1516.22,1.33%,1496.25,,1516.22
01/06/2023,1499.59,178.12M,1477.42,1496.25,0.67%,1486.28,,1496.25
31/05/2023,1489.43,337.12M,1466.49,1486.28,0.85%,1473.78,,1486.28
30/05/2023,1487.26,187.18M,1470.88,1473.78,-0.67%,1483.73,,1473.78
26/05/2023,1498.86,163.72M,1480.76,1483.73,-0.17%,1486.3,,1483.73
25/05/2023,1501.91,202.46M,1476.45,1486.3,-1.04%,1501.91,,1486.3
24/05/2023,1511.87,181.36M,1498.51,1501.91,-0.66%,1511.87,,1501.91
23/05/2023,1529.13,228.56M,1509.25,1511.87,-1.13%,1529.13,,1511.87
22/05/2023,1539.08,215.34M,1525.94,1529.13,0.04%,1528.47,,1529.13
19/05/2023,1538.70,188.64M,1521.53,1528.47,0.46%,1521.53,,1528.47
18/05/2023,1525.24,163.28M,1509.80,1521.53,-0.24%,1525.24,,1521.53
17/05/2023,1526.68,172.36M,1508.43,1525.24,0.10%,1523.76,,1525.24
16/05/2023,1536.30,142.04M,1523.31,1523.76,-0.82%,1536.3,,1523.76
15/05/2023,1540.51,140.61M,1529.99,1536.3,-0.16%,1538.82,,1536.3
12/05/2023,1546.77,142.25M,1532.37,1538.82,-0.18%,1541.67,,1538.82
11/05/2023,1546.86,168.79M,1532.24,1541.67,-0.34%,1546.86,,1541.67
10/05/2023,1550.86,166.30M,1538.49,1546.86,0.27%,1542.68,,1546.86
09/05/2023,1554.46,164.91M,1542.35,1542.68,-0.69%,1553.41,,1542.68
08/05/2023,1556.81,183.28M,1546.66,1553.41,-0.22%,1556.81,,1553.41
05/05/2023,1561.81,163.22M,1542.58,1556.81,0.92%,1542.58,,1556.81
04/05/2023,1555.15,172.34M,1536.58,1542.58,-0.81%,1555.15,,1542.58
03/05/2023,1570.71,201.42M,1553.04,1555.15,-0.11%,1556.88,,1555.15
02/05/2023,1571.05,198.62M,1546.24,1556.88,-0.49%,1564.51,,1556.88
01/05/2023,1570.10,157.72M,1555.05,1564.51,0.59%,1555.39,,1564.51
28/04/2023,1560.14,192.51M,1539.15,1555.39,0.82%,1542.8,,1555.39
27/04/2023,1544.65,206.38M,1522.08,1542.8,0.51%,1534.96,,1542.8
26/04/2023,1556.86,196.01M,1525.40,1534.96,-1.41%,1556.86,,1534.96
25/04/2023,1575.89,192.93M,1554.80,1556.86,-1.05%,1573.41,,1556.86
24/04/2023,1573.86,169.00M,1562.81,1573.41,0.56%,1564.68,,1573.41
21/04/2023,1570.11,191.01M,1554.15,1564.68,0.68%,1554.15,,1564.68
20/04/2023,1560.92,164.40M,1547.17,1554.15,-0.43%,1560.92,,1554.15
19/04/2023,1563.45,179.63M,1552.17,1560.92,0.28%,1556.5,,1560.92
18/04/2023,1569.53,155.55M,1554.16,1556.5,-0.65%,1566.76,,1556.5
